,Book Title,Author,Average Rating,Total Rating,Publish Date,Genres,Raw Synopsis,Genre1
1653,The Art of Happiness (Hardcover),Dalai Lama XIV,4.17,116320,1998,'nonfiction 'philosophy 'spirituality 'self help 'buddhism 'psychology 'religion,"Nearly every time you see him, he's laughing, or at least smiling. And he makes everyone else around him feel like smiling. He's the Dalai Lama, the spiritual and temporal leader of Tibet, a Nobel Prize winner, and an increasingly popular speaker and statesman. What's more, he'll tell you that happiness is the purpose of life, and that ""the very motion of our life is towards happiness."" How to get there has always been the question. He's tried to answer it before, but he's never had the help of a psychiatrist to get the message across in a context we can easily understand. Through conversations, stories, and meditations, the Dalai Lama shows us how to defeat day-to-day anxiety, insecurity, anger, and discouragement. Together with Dr. Cutler, he explores many facets of everyday life, including relationships, loss, and the pursuit of wealth, to illustrate how to ride through life's obstacles on a deep and abiding source of inner peace.",Non-Fiction
1654,The Only Plane in the Sky: An Oral History of 9/11 (Audiobook),Garrett M. Graff,4.72,34504,2019,'nonfiction 'history 'audiobook 'historical 'american history 'true crime 'politics,"15 hours, 54 minutesRead by a 45-person cast, with Holter Graham and the authorOver the past eighteen years, monumental literature has been published about 9/11, from Lawrence Wright’s The Looming Tower to The 9/11 Commission Report. But one perspective has been missing up to this point—a 360-degree account of the day told through firsthand.Now, in The Only Plane in the Sky, Garrett Graff tells the story of the day as it was lived—in the words of those who lived it. Drawing on never-before-published transcripts, declassified documents, original interviews, and oral histories from nearly five hundred government officials, first responders, witnesses, survivors, friends, and family members, he paints the most vivid and human portrait of the September 11 attacks yet.Beginning in the predawn hours of airports in the Northeast, we meet the ticket agents who unknowingly usher terrorists onto their flights, and the flight attendants inside the hijacked planes. In New York, first responders confront a scene of unimaginable horror at the Twin Towers. From a secret bunker under the White House, officials watch for incoming planes on radar. Aboard unarmed fighter jets in the air, pilots make a pact to fly into a hijacked airliner if necessary to bring it down. In the skies above Pennsylvania, civilians aboard United 93 make the ultimate sacrifice in their place. Then, as the day moves forward and flights are grounded nationwide, Air Force One circles the country alone, its passengers isolated and afraid.More than simply a collection of eyewitness testimonies, The Only Plane in the Sky is the historic narrative of how ordinary people grappled with extraordinary events in real time: the father and son caught on different ends of the impact zone; the firefighter searching for his wife who works at the World Trade Center; the operator of in-flight telephone calls who promises to share a passenger’s last words with his family; the beloved FDNY chaplain who bravely performs last rites for the dying, losing his own life when the Towers collapse; and the generals at the Pentagon who break down and weep when they are barred from trying to rescue their colleagues.At once a powerful tribute to the courage of everyday Americans and an essential addition to the literature of 9/11, The Only Plane in the Sky weaves together the unforgettable personal experiences of the men and women who found themselves caught at the center of an unprecedented human drama. The result is a unique, profound, and searing exploration of humanity on a day that changed the course of history, and all of our lives.",Non-Fiction
1655,Born Standing Up: A Comic's Life (Hardcover),Steve Martin,3.88,100062,2007,'nonfiction 'biography 'memoir 'humor 'comedy 'audiobook 'autobiography,"In the midseventies, Steve Martin exploded onto the comedy scene. By 1978 he was the biggest concert draw in the history of stand-up. In 1981 he quit forever. This book is, in his own words, the story of ""why I did stand-up and why I walked away."" Emmy and Grammy Award winner, author of the acclaimed New York Times bestsellers Shopgirl and The Pleasure of My Company, and a regular contributor to The New Yorker, Martin has always been a writer. His memoir of his years in stand-up is candid, spectacularly amusing, and beautifully written. At age ten Martin started his career at Disneyland, selling guidebooks in the newly opened theme park. In the decade that followed, he worked in the Disney magic shop and the Bird Cage Theatre at Knott's Berry Farm, performing his first magic/comedy act a dozen times a week. The story of these years, during which he practiced and honed his craft, is moving and revelatory. The dedication to excellence and innovation is formed at an astonishingly early age and never wavers or wanes. Martin illuminates the sacrifice, discipline, and originality that made him an icon and informs his work to this day. To be this good, to perform so frequently, was isolating and lonely. It took Martin decades to reconnect with his parents and sister, and he tells that story with great tenderness. Martin also paints a portrait of his times-the era of free love and protests against the war in Vietnam, the heady irreverence of The Smothers Brothers Comedy Hour in the late sixties, and the transformative new voice of Saturday Night Live in the seventies.Throughout the text, Martin has placed photographs, many never seen before. Born Standing Up is a superb testament to the sheer tenacity, focus, and daring of one of the greatest and most iconoclastic comedians of all time.",Non-Fiction
1656,Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),Chip Heath,3.98,92498,2006,'business 'nonfiction 'psychology 'leadership 'self help 'communication 'design,"NEW YORK TIMES BESTSELLER - The instant classic about why some ideas thrive, why others die, and how to improve your idea's chances--essential reading in the ""fake news"" era.Mark Twain once observed, ""A lie can get halfway around the world before the truth can even get its boots on."" His observation rings true: Urban legends, conspiracy theories, and bogus news stories circulate effortlessly. Meanwhile, people with important ideas--entrepreneurs, teachers, politicians, and journalists--struggle to make them ""stick.""In Made to Stick, Chip and Dan Heath reveal the anatomy of ideas that stick and explain ways to make ideas stickier, such as applying the human scale principle, using the Velcro Theory of Memory, and creating curiosity gaps. Along the way, we discover that sticky messages of all kinds--from the infamous ""kidney theft ring"" hoax to a coach's lessons on sportsmanship to a vision for a new product at Sony--draw their power from the same six traits.Made to Stick will transform the way you communicate. It's a fast-paced tour of success stories (and failures): the Nobel Prize-winning scientist who drank a glass of bacteria to prove a point about stomach ulcers; the charities who make use of the Mother Teresa Effect; the elementary-school teacher whose simulation actually prevented racial prejudice.Provocative, eye-opening, and often surprisingly funny, Made to Stick shows us the vital principles of winning ideas--and tells us how we can apply these rules to making our own messages stick.",Non-Fiction
1657,Dead Mountain: The Untold True Story of the Dyatlov Pass Incident (Hardcover),Donnie Eichar,3.99,21984,2013,'nonfiction 'history 'mystery 'true crime 'russia 'adventure 'historical,"In February 1959, a group of nine experienced hikers in the Russian Ural Mountains died mysteriously on an elevation known as Dead Mountain. Eerie aspects of the incident—unexplained violent injuries, signs that they cut open and fled the tent without proper clothing or shoes, a strange final photograph taken by one of the hikers, and elevated levels of radiation found on some of their clothes—have led to decades of speculation over what really happened. This gripping work of literary nonfiction delves into the mystery through unprecedented access to the hikers' own journals and photographs, rarely seen government records, dozens of interviews, and the author's retracing of the hikers' fateful journey in the Russian winter. A fascinating portrait of the young hikers in the Soviet era, and a skillful interweaving of the hikers narrative, the investigators' efforts, and the author's investigations, here for the first time is the real story of what happened that night on Dead Mountain",Non-Fiction
1658,The Looming Tower: Al-Qaeda and the Road to 9/11 (Hardcover),Lawrence Wright,4.35,32446,2006,'history 'nonfiction 'politics 'terrorism 'war 'religion 'american history,"A sweeping narrative history of the events leading to 9/11, a groundbreaking look at the people and ideas, the terrorist plans and the Western intelligence failures that culminated in the assault on America. Lawrence Wright's remarkable book is based on five years of research and hundreds of interviews that he conducted in Egypt, Saudi Arabia, Pakistan, Afghanistan, Sudan, England, France, Germany, Spain, and the United States.The Looming Tower achieves an unprecedented level of intimacy and insight by telling the story through the interweaving lives of four men: the two leaders of al-Qaeda, Osama bin Laden and Ayman al-Zawahiri; the FBI's counterterrorism chief, John O'Neill; and the former head of Saudi intelligence, Prince Turki al-Faisal.As these lives unfold, we see revealed: the crosscurrents of modern Islam that helped to radicalize Zawahiri and bin Laden . . . the birth of al-Qaeda and its unsteady development into an organization capable of the American embassy bombings in Kenya and Tanzania and the attack on the USS Cole . . . O'Neill's heroic efforts to track al-Qaeda before 9/11, and his tragic death in the World Trade towers . . . Prince Turki's transformation from bin Laden's ally to his enemy . . . the failures of the FBI, CIA, and NSA to share intelligence that might have prevented the 9/11 attacks.The Looming Tower broadens and deepens our knowledge of these signal events by taking us behind the scenes. Here is Sayyid Qutb, founder of the modern Islamist movement, lonely and despairing as he meets Western culture up close in 1940s America; the privileged childhoods of bin Laden and Zawahiri; family life in the al-Qaeda compounds of Sudan and Afghanistan; O'Neill's high-wire act in balancing his all-consuming career with his equally entangling personal life--he was living with three women, each of them unaware of the others' existence--and the nitty-gritty of turf battles among U.S. intelligence agencies.Brilliantly conceived and written, The Looming Tower draws all elements of the story into a galvanizing narrative that adds immeasurably to our understanding of how we arrived at September 11, 2001. The richness of its new information, and the depth of its perceptions, can help us deal more wisely and effectively with the continuing terrorist threat.",Non-Fiction
1659,Originals: How Non-Conformists Move the World (Hardcover),Adam M. Grant,3.96,52617,2016,'nonfiction 'business 'psychology 'self help 'leadership 'personal development 'audiobook,"In Originals the author addresses the challenge of improving the world from the perspective of becoming original: choosing to champion novel ideas and values that go against the grain, battle conformity, and buck outdated traditions. How can we originate new ideas, policies, and practices without risking it all?   Using surprising studies and stories spanning business, politics, sports, and entertainment, Grant explores how to recognize a good idea, speak up without getting silenced, build a coalition of allies, choose the right time to act, and manage fear and doubt; how parents and teachers can nurture originality in children; and how leaders can build cultures that welcome dissent. Learn from an entrepreneur who pitches his start-ups by highlighting the reasons not to invest, a woman at Apple who challenged Steve Jobs from three levels below, an analyst who overturned the rule of secrecy at the CIA, a billionaire financial wizard who fires employees for failing to criticize him, and a TV executive who didn’t even work in comedy but saved Seinfeld from the cutting-room floor. The payoff is a set of groundbreaking insights about rejecting conformity and improving the status quo.",Non-Fiction
1660,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History (Hardcover)",Robert M. Edsel,3.79,50403,2009,'history 'nonfiction 'art 'world war ii 'historical 'war 'audiobook,"At the same time Adolf Hitler was attempting to take over the western world, his armies were methodically seeking and hoarding the finest art treasures in Europe. The Fuehrer had begun cataloguing the art he planned to collect as well as the art he would destroy: ""degenerate"" works he despised.In a race against time, behind enemy lines, often unarmed, a special force of American and British museum directors, curators, art historians, and others, called the Momuments Men, risked their lives scouring Europe to prevent the destruction of thousands of years of culture.Focusing on the eleven-month period between D-Day and V-E Day, this fascinating account follows six Monuments Men and their impossible mission to save the world's great art from the Nazis.",Non-Fiction
1661,"I Am, I Am, I Am: Seventeen Brushes with Death (Hardcover)",Maggie O'Farrell,3.99,42653,2017,'nonfiction 'memoir 'biography 'audiobook 'essays 'biography memoir 'short stories,"We are never closer to life than when we brush up against the possibility of death.I Am, I Am, I Am is Maggie O'Farrell's astonishing memoir of the near-death experiences that have punctuated and defined her life. The childhood illness that left her bedridden for a year, which she was not expected to survive. A teenage yearning to escape that nearly ended in disaster. An encounter with a disturbed man on a remote path. And, most terrifying of all, an ongoing, daily struggle to protect her daughter--for whom this book was written--from a condition that leaves her unimaginably vulnerable to life's myriad dangers.Seventeen discrete encounters with Maggie at different ages, in different locations, reveal a whole life in a series of tense, visceral snapshots. In taut prose that vibrates with electricity and restrained emotion, O'Farrell captures the perils running just beneath the surface, and illuminates the preciousness, beauty, and mysteries of life itself.",Non-Fiction
1662,The Opposite of Loneliness: Essays and Stories (Hardcover),Marina Keegan,3.85,50252,2014,'nonfiction 'short stories 'essays 'memoir 'contemporary 'biography 'audiobook,"An affecting and hope-filled posthumous collection of essays and stories from the talented young Yale graduate whose title essay captured the world’s attention in 2012 and turned her into an icon for her generation.Marina Keegan’s star was on the rise when she graduated magna cum laude from Yale in May 2012. She had a play that was to be produced at the New York International Fringe Festival and a job waiting for her at the New Yorker. Tragically, five days after graduation, Marina died in a car crash.As her family, friends, and classmates, deep in grief, joined to create a memorial service for Marina, her unforgettable last essay for the Yale Daily News, “The Opposite of Loneliness,” went viral, receiving more than 1.4 million hits. She had struck a chord.Even though she was just twenty-two when she died, Marina left behind a rich, expansive trove of prose that, like her title essay, captures the hope, uncertainty, and possibility of her generation. The Opposite of Loneliness is an assem­blage of Marina’s essays and stories that, like The Last Lecture, articulates the universal struggle that all of us face as we figure out what we aspire to be and how we can harness our talents to make an impact on the world.",Non-Fiction
1663,The Monster of Florence (Kindle Edition),Douglas Preston,3.76,34137,2008,'nonfiction 'true crime 'history 'crime 'mystery 'italy 'audiobook,"In the nonfiction tradition of John Berendt (Midnight in the Garden of Good and Evil) and Erik Larson (The Devil in the White City), New York Times bestselling author Douglas Preston presents a gripping account of crime and punishment in the lush hills surrounding Florence, Italy.In 2000, Douglas Preston fulfilled a dream to move his family to Italy. Then he discovered that the olive grove in front of their 14th century farmhouse had been the scene of the most infamous double-murders in Italian history, committed by a serial killer known as the Monster of Florence. Preston, intrigued, meets Italian investigative journalist Mario Spezi to learn more.This is the true story of their search for—and identification of—the man they believe committed the crimes, and their chilling interview with him. And then, in a strange twist of fate, Preston and Spezi themselves become targets of the police investigation. Preston has his phone tapped, is interrogated, and told to leave the country. Spezi fares worse: he is thrown into Italy's grim Capanne prison, accused of being the Monster of Florence himself. Like one of Preston's thrillers, The Monster of Florence, tells a remarkable and harrowing story involving murder, mutilation, and suicide—and at the center of it, Preston and Spezi, caught in a bizarre prosecutorial vendetta.",Non-Fiction
1664,A Life on Our Planet: My Witness Statement and a Vision for the Future (Hardcover),David Attenborough,4.51,28579,2020,'nonfiction 'science 'nature 'environment 'biography 'audiobook 'memoir,"See the world. Then make it better.I am 94. I've had an extraordinary life. It's only now that I appreciate how extraordinary.As a young man, I felt I was out there in the wild, experiencing the untouched natural world - but it was an illusion. The tragedy of our time has been happening all around us, barely noticeable from day to day - the loss of our planet's wild places, its biodiversity.I have been witness to this decline. A Life on Our Planet is my witness statement, and my vision for the future. It is the story of how we came to make this, our greatest mistake - and how, if we act now, we can yet put it right.We have one final chance to create the perfect home for ourselves and restore the wonderful world we inherited.All we need is the will to do so.",Non-Fiction
1665,"The Day the World Came to Town: 9/11 in Gander, Newfoundland (Paperback)",Jim DeFede,4.24,51884,2002,'nonfiction 'history 'audiobook 'canada 'historical 'adult 'book club,"Perfect for fans of the hit Broadway musical Come from Away.When 38 jetliners bound for the United States were forced to land at Gander International Airport in Canada by the closing of U.S. airspace on September 11, the population of this small town on Newfoundland Island swelled from 10,300 to nearly 17,000. The citizens of Gander met the stranded passengers with an overwhelming display of friendship and goodwill. As the passengers stepped from the airplanes, exhausted, hungry and distraught after being held on board for nearly 24 hours while security checked all of the baggage, they were greeted with a feast prepared by the townspeople. Local bus drivers who had been on strike came off the picket lines to transport the passengers to the various shelters set up in local schools and churches. Linens and toiletries were bought and donated. A middle school provided showers, as well as access to computers, email, and televisions, allowing the passengers to stay in touch with family and follow the news.Over the course of those four days, many of the passengers developed friendships with Gander residents that they expect to last a lifetime. As a show of thanks, scholarship funds for the children of Gander have been formed and donations have been made to provide new computers for the schools. This book recounts the inspiring story of the residents of Gander, Canada, whose acts of kindness have touched the lives of thousands of people and been an example of humanity and goodwill.",Non-Fiction
1666,We Are Never Meeting in Real Life. (Paperback),Samantha Irby,3.9,44895,2017,'nonfiction 'essays 'memoir 'humor 'audiobook 'lgbt 'short stories,"Sometimes you just have to laugh, even when life is a dumpster fire. With We Are Never Meeting in Real Life., ""bitches gotta eat"" blogger and comedian Samantha Irby turns the serio-comic essay into an art form. Whether talking about how her difficult childhood has led to a problem in making ""adult"" budgets, explaining why she should be the new Bachelorette--she's ""35-ish, but could easily pass for 60-something""--detailing a disastrous pilgrimage-slash-romantic-vacation to Nashville to scatter her estranged father's ashes, sharing awkward sexual encounters, or dispensing advice on how to navigate friendships with former drinking buddies who are now suburban moms--hang in there for the Costco loot--she's as deft at poking fun at the ghosts of her past self as she is at capturing powerful emotional truths.Chapter titles:My Bachelorette application --A blues for Fred --The miracle porker --Do you guys pay your fucking bills or what? --You don't have to be grateful for sex --A Christmas carol --Happy birthday --A case for remaining indoors --A total attack of the heart --A civil union --Mavis --Fuck it, bitch. Stay fat --Nashville hot chicken --I'm in love and it's boring --A bomb, probably --The real housewife of Kalamazoo --Thirteen questions to ask before getting married --Yo, I need a job --Feelings are a mistake --We are never meeting in real life",Non-Fiction
1667,The Order of Time (Hardcover),Carlo Rovelli,4.12,30866,2017,'science 'nonfiction 'physics 'philosophy 'audiobook 'popular science 'history,"Time is a mystery that does not cease to puzzle us. Philosophers, artists and poets have long explored its meaning while scientists have found that its structure is different from the simple intuition we have of it. From Boltzmann to quantum theory, from Einstein to loop quantum gravity, our understanding of time has been undergoing radical transformations. Time flows at different speeds in different places, the past and the future differ far less than we might think and the very notion of the present evaporates in the vast universe. With his extraordinary charm and sense of wonder, bringing together science, philosophy and art, Carlo Rovelli unravels this mystery, inviting us to imagine a world where time is in us and we are not in time.",Non-Fiction
1668,The Six Wives of Henry VIII (Paperback),Alison Weir,4.11,69546,1992,'history 'nonfiction 'biography 'historical 'tudor period 'british literature 'biography memoir,"The tempestuous, bloody, and splendid reign of Henry VIII of England (1509-1547) is one of the most fascinating in all history, not least for his marriage to six extraordinary women. In this accessible work of brilliant scholarship, Alison Weir draws on early biographies, letters, memoirs, account books, and diplomatic reports to bring these women to life. Catherine of Aragon emerges as a staunch though misguided woman of principle; Anne Boleyn, an ambitious adventuress with a penchant for vengeance; Jane Seymour, a strong-minded matriarch in the making; Anne of Cleves, a good-natured and innocent woman naively unaware of the court intrigues that determined her fate; Catherine Howard, an empty-headed wanton; and Catherine Parr, a warm-blooded bluestocking who survived King Henry to marry a fourth time.",Non-Fiction
1669,Gender Queer (Paperback),Maia Kobabe,4.28,57868,2019,'graphic novels 'lgbt 'memoir 'nonfiction 'queer 'comics 'banned books,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia's intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Non-Fiction
1670,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History (Paperback),Chris Kyle,4.02,131599,2012,'nonfiction 'biography 'military fiction 'history 'war 'memoir 'autobiography,"From 1999 to 2009, U.S. Navy SEAL Chris Kyle recorded the most career sniper kills in United States military history. The Pentagon has officially confirmed more than 150 of Kyle's kills (the previous American record was 109), but it has declined to verify the astonishing total number for this book. Iraqi insurgents feared Kyle so much they named him al-Shaitan (“the devil”) and placed a bounty on his head. Kyle earned legendary status among his fellow SEALs, Marines, and U.S. Army soldiers, whom he protected with deadly accuracy from rooftops and stealth positions. Gripping and unforgettable, Kyle’s masterful account of his extraordinary battlefield experiences ranks as one of the great war memoirs of all time.A native Texan who learned to shoot on childhood hunting trips with his father, Kyle was a champion saddle-bronc rider prior to joining the Navy. After 9/11, he was thrust onto the front lines of the War on Terror, and soon found his calling as a world-class sniper who performed best under fire. He recorded a personal-record 2,100-yard kill shot outside Baghdad; in Fallujah, Kyle braved heavy fire to rescue a group of Marines trapped on a street; in Ramadi, he stared down insurgents with his pistol in close combat. Kyle talks honestly about the pain of war—of twice being shot and experiencing the tragic deaths of two close friends.American Sniper also honors Kyles fellow warriors, who raised hell on and off the battlefield. And in moving first-person accounts throughout, Kyles wife, Taya, speaks openly about the strains of war on their marriage and children, as well as on Chris.Adrenaline-charged and deeply personal, American Sniper is a thrilling eyewitness account of war that only one man could tell.",Non-Fiction
1671,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (Audiobook),Pamela Druckerman,4.02,67101,2012,'parenting 'nonfiction 'memoir 'france 'audiobook 'family 'childrens," The secret behind France's astonishingly well-behaved children. When American journalist Pamela Druckerman has a baby in Paris, she doesn't aspire to become a ""French parent."" French parenting isn't a known thing, like French fashion or French cheese. Even French parents themselves insist they aren't doing anything special.Yet, the French children Druckerman knows sleep through the night at two or three months old while those of her American friends take a year or more. French kids eat well-rounded meals that are more likely to include braised leeks than chicken nuggets. And while her American friends spend their visits resolving spats between their kids, her French friends sip coffee while the kids play.Motherhood itself is a whole different experience in France. There's no role model, as there is in America, for the harried new mom with no life of her own. French mothers assume that even good parents aren't at the constant service of their children and that there's no need to feel guilty about this. They have an easy, calm authority with their kids that Druckerman can only envy.Of course, French parenting wouldn't be worth talking about if it produced robotic, joyless children. In fact, French kids are just as boisterous, curious, and creative as Americans. They're just far better behaved and more in command of themselves. While some American toddlers are getting Mandarin tutors and preliteracy training, French kids are- by design-toddling around and discovering the world at their own pace.With a notebook stashed in her diaper bag, Druckerman-a former reporter for The Wall Street Journal-sets out to learn the secrets to raising a society of good little sleepers, gourmet eaters, and reasonably relaxed parents. She discovers that French parents are extremely strict about some things and strikingly permissive about others. And she realizes that to be a different kind of parent, you don't just need a different parenting philosophy. You need a very different view of what a child actually is.While finding her own firm non, Druckerman discovers that children-including her own-are capable of feats she'd never imagined.",Non-Fiction
1672,Understanding Comics: The Invisible Art (Paperback),Scott McCloud,4.01,122287,1993,'comics 'graphic novels 'nonfiction 'art 'design 'graphic novels comics 'writing,"Praised throughout the cartoon industry by such luminaries as Art Spiegelman, Matt Groening, and Will Eisner, this innovative comic book provides a detailed look at the history, meaning, and art of comics and cartooning.",Non-Fiction
1673,The Dawn of Everything: A New History of Humanity (Hardcover),David Graeber,4.2,18036,2021,'history 'nonfiction 'anthropology 'science 'politics 'philosophy 'sociology,"A dramatically new understanding of human history, challenging our most fundamental assumptions about social evolution—from the development of agriculture and cities to the origins of the state, democracy, and inequality—and revealing new possibilities for human emancipation.For generations, our remote ancestors have been cast as primitive and childlike—either free and equal innocents, or thuggish and warlike. Civilization, we are told, could be achieved only by sacrificing those original freedoms or, alternatively, by taming our baser instincts. David Graeber and David Wengrow show how such theories first emerged in the eighteenth century as a conservative reaction to powerful critiques of European society posed by Indigenous observers and intellectuals. Revisiting this encounter has startling implications for how we make sense of human history today, including the origins of farming, property, cities, democracy, slavery, and civilization itself.Drawing on pathbreaking research in archaeology and anthropology, the authors show how history becomes a far more interesting place once we learn to throw off our conceptual shackles and perceive what’s really there. If humans did not spend 95 percent of their evolutionary past in tiny bands of hunter-gatherers, what were they doing all that time? If agriculture, and cities, did not mean a plunge into hierarchy and domination, then what kinds of social and economic organization did they lead to? The answers are often unexpected, and suggest that the course of human history may be less set in stone, and more full of playful, hopeful possibilities, than we tend to assume.The Dawn of Everything fundamentally transforms our understanding of the human past and offers a path toward imagining new forms of freedom, new ways of organizing society. This is a monumental book of formidable intellectual range, animated by curiosity, moral vision, and a faith in the power of direct action.",Non-Fiction
1674,"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear (Hardcover)",Kate  Moore,4.3,26498,2021,'nonfiction 'history 'biography 'feminism 'audiobook 'historical 'mental health,"1860: As the clash between the states rolls slowly to a boil, Elizabeth Packard, housewife and mother of six, is facing her own battle. The enemy sits across the table and sleeps in the next room. Her husband of twenty-one years is plotting against her because he feels increasingly threatened - by Elizabeth's intellect, independence, and unwillingness to stifle her own thoughts. So Theophilus makes a plan to put his wife back in her place. One summer morning, he has her committed to an insane asylum.The horrific conditions inside the Illinois State Hospital in Jacksonville, Illinois, are overseen by Dr. Andrew McFarland, a man who will prove to be even more dangerous to Elizabeth than her traitorous husband. But most disturbing is that Elizabeth is not the only sane woman confined to the institution. There are many rational women on her ward who tell the same story: they've been committed not because they need medical treatment, but to keep them in line - conveniently labeled ""crazy"" so their voices are ignored.No one is willing to fight for their freedom and, disenfranchised both by gender and the stigma of their supposed madness, they cannot possibly fight for themselves. But Elizabeth is about to discover that the merit of losing everything is that you then have nothing to lose...",Non-Fiction
1675,Crucial Conversations: Tools for Talking When Stakes are High (Paperback),Kerry Patterson,4.07,70872,2002,'business 'nonfiction 'leadership 'self help 'communication 'psychology 'personal development,"Learn how to keep your cool and get the results you want when emotions flare.When stakes are high, opinions vary, and emotions run strong, you have three choices: Avoid a crucial conversation and suffer the consequences; handle the conversation badly and suffer the consequences; or read Crucial Conversations and discover how to communicate best when it matters most. Crucial Conversations gives you the tools you need to step up to life's most difficult and important conversations, say what's on your mind, and achieve the positive resolutions you want. You'll learn how to: Prepare for high-impact situations with a six-minute mastery technique Make it safe to talk about almost anything Be persuasive, not abrasive Keep listening when others blow up or clam up Turn crucial conversations into the action and results you want",Non-Fiction
1676,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II (Hardcover),Denise Kiernan,3.71,30031,2013,'nonfiction 'history 'world war ii 'science 'historical 'biography 'war,"
The incredible story of the young women of Oak Ridge, Tennessee, who unwittingly played a crucial role in one of the most significant moments in U.S. history.
The Tennessee town of Oak Ridge was created from scratch in 1942. One of the Manhattan Project’s secret cities, it didn’t appear on any maps until 1949, and yet at the height of World War II it was using more electricity than New York City and was home to more than 75,000 people, many of them young women recruited from small towns across the South. Their jobs were shrouded in mystery, but they were buoyed by a sense of shared purpose, close friendships—and a surplus of handsome scientists and Army men!But against this vibrant wartime backdrop, a darker story was unfolding. The penalty for talking about their work—even the most innocuous details—was job loss and eviction. One woman was recruited to spy on her coworkers. They all knew something big was happening at Oak Ridge, but few could piece together the true nature of their work until the bomb ""Little Boy"" was dropped over Hiroshima, Japan, and the secret was out. The shocking revelation: the residents of Oak Ridge were enriching uranium for the atomic bomb.Though the young women originally believed they would leave Oak Ridge after the war, many met husbands there, made lifelong friends, and still call the seventy-year-old town home. The reverberations from their work there—work they didn’t fully understand at the time—are still being felt today. In The Girls of Atomic City, Denise Kiernan traces the astonishing story of these unsung WWII workers through interviews with dozens of surviving women and other Oak Ridge residents. Like The Immortal Life of Henrietta Lacks, this is history and science made fresh and vibrant—a beautifully told, deeply researched story that unfolds in a suspenseful and exciting way.",Non-Fiction
1677,Taste: My Life Through Food (Hardcover),Stanley Tucci,4.21,74044,2021,'nonfiction 'memoir 'audiobook 'food 'biography 'biography memoir 'cooking,"From award-winning actor and food obsessive Stanley Tucci comes an intimate and charming memoir of life in and out of the kitchen.Before Stanley Tucci became a household name with The Devil Wears Prada, The Hunger Games, and the perfect Negroni, he grew up in an Italian American family that spent every night around the table. He shared the magic of those meals with us in The Tucci Cookbook and The Tucci Table, and now he takes us beyond the recipes and into the stories behind them.Taste is a reflection on the intersection of food and life, filled with anecdotes about growing up in Westchester, New York, preparing for and filming the foodie films Big Night and Julie & Julia, falling in love over dinner, and teaming up with his wife to create conversation-starting meals for their children. Each morsel of this gastronomic journey through good times and bad, five-star meals and burnt dishes, is as heartfelt and delicious as the last.Written with Stanley's signature wry humour and nostalgia, Taste is a heartwarming read that will be irresistible for anyone who knows the power of a home-cooked meal.",Non-Fiction
1678,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph (Hardcover),Ryan Holiday,4.16,80950,2014,'philosophy 'nonfiction 'self help 'business 'personal development 'psychology 'leadership,"“The impediment to action advances action. What stands in the way becomes the way.” — Marcus AureliusWe are stuck, stymied, frustrated. But it needn’t be this way. There is a formula for success that’s been followed by the icons of history—from John D. Rockefeller to Amelia Earhart to Ulysses S. Grant to Steve Jobs—a formula that let them turn obstacles into opportunities. Faced with impossible situations, they found the astounding triumphs we all seek.These men and women were not exceptionally brilliant, lucky, or gifted. Their success came from timeless philosophical principles laid down by a Roman emperor who struggled to articulate a method for excellence in any and all situations.This book reveals that formula for the first time—and shows us how we can turn our own adversity into advantage.",Non-Fiction
